"caseid"	"degree"	"satfin"
1	"Bachelor"	"Not At All Sat"
2	"Lt High School"	"More Or Less"
3	"High School"	"Satisfied"
4	"Bachelor"	"Not At All Sat"
5	"High School"	"Satisfied"
6	"High School"	"More Or Less"
7	"High School"	"More Or Less"
8	"Bachelor"	"Not At All Sat"
9	"High School"	"More Or Less"
10	"High School"	"Not At All Sat"
11	"High School"	"Not At All Sat"
12	"Lt High School"	"Satisfied"
13	"Lt High School"	"Satisfied"
14	"Lt High School"	"More Or Less"
15	"Lt High School"	"Satisfied"
16	"High School"	"More Or Less"
17	"High School"	"Satisfied"
18	"Lt High School"	"Satisfied"
19	"Bachelor"	"More Or Less"
20	"High School"	"Satisfied"
21	"High School"	"Satisfied"
22	"High School"	"Satisfied"
23	"High School"	"Satisfied"
24	"High School"	"Not At All Sat"
25	"Bachelor"	"Satisfied"
26	"High School"	"Satisfied"
27	"High School"	"More Or Less"
28	"High School"	"More Or Less"
29	"High School"	"More Or Less"
30	"Lt High School"	"More Or Less"
31	"Lt High School"	"More Or Less"
32	"High School"	"Not At All Sat"
33	"Bachelor"	"Satisfied"
34	"Lt High School"	"Satisfied"
35	"High School"	"Satisfied"
36	"High School"	"More Or Less"
37	"High School"	"Satisfied"
38	"Lt High School"	"Satisfied"
39	"Lt High School"	"Satisfied"
40	"High School"	"More Or Less"
41	"Lt High School"	"Satisfied"
42	"High School"	"Not At All Sat"
43	"Lt High School"	"Satisfied"
44	"Lt High School"	"Satisfied"
45	"Lt High School"	"More Or Less"
46	"High School"	"Satisfied"
47	"High School"	"Satisfied"
48	"High School"	"Satisfied"
49	"Lt High School"	"More Or Less"
50	"Lt High School"	"More Or Less"
51	"Lt High School"	"Not At All Sat"
52	"High School"	"Not At All Sat"
53	"Lt High School"	"More Or Less"
54	"High School"	"More Or Less"
55	"Lt High School"	"Satisfied"
56	"High School"	"More Or Less"
57	"High School"	"Not At All Sat"
58	"High School"	"Not At All Sat"
59	"High School"	"Satisfied"
60	"Lt High School"	"Satisfied"
61	"High School"	"Not At All Sat"
62	"Lt High School"	"More Or Less"
63	"High School"	"More Or Less"
64	"Lt High School"	"More Or Less"
65	"High School"	"More Or Less"
66	"Lt High School"	"Satisfied"
67	"High School"	"Not At All Sat"
68	"High School"	"Not At All Sat"
69	"High School"	"Satisfied"
70	"Bachelor"	"Not At All Sat"
72	"High School"	"More Or Less"
73	"Lt High School"	"More Or Less"
74	"Lt High School"	"Satisfied"
75	"High School"	"Not At All Sat"
76	"Bachelor"	"More Or Less"
77	"Lt High School"	"Satisfied"
78	"Lt High School"	"Not At All Sat"
79	"High School"	"More Or Less"
80	"High School"	"Satisfied"
82	"High School"	"More Or Less"
83	"High School"	"Satisfied"
84	"High School"	"More Or Less"
85	"High School"	"More Or Less"
86	"Bachelor"	"More Or Less"
87	"Graduate"	"Not At All Sat"
88	"Graduate"	"More Or Less"
89	"Bachelor"	"Not At All Sat"
90	"High School"	"Not At All Sat"
91	"Bachelor"	"Satisfied"
92	"High School"	"More Or Less"
93	"High School"	"Satisfied"
94	"High School"	"Satisfied"
95	"Bachelor"	"More Or Less"
96	"High School"	"More Or Less"
97	"High School"	"Satisfied"
98	"High School"	"Satisfied"
99	"High School"	"Satisfied"
100	"High School"	"Satisfied"
101	"Lt High School"	"More Or Less"
102	"High School"	"More Or Less"
103	"High School"	"More Or Less"
104	"High School"	"Satisfied"
105	"High School"	"More Or Less"
106	"Lt High School"	"Satisfied"
107	"High School"	"More Or Less"
108	"High School"	"Not At All Sat"
109	"Bachelor"	"Satisfied"
110	"High School"	"Not At All Sat"
111	"Lt High School"	"More Or Less"
112	"High School"	"Not At All Sat"
113	"Lt High School"	"More Or Less"
114	"Lt High School"	"More Or Less"
115	"High School"	"More Or Less"
116	"High School"	"Not At All Sat"
117	"Lt High School"	"More Or Less"
118	"Lt High School"	"Not At All Sat"
119	"Lt High School"	"More Or Less"
120	"High School"	"More Or Less"
121	"Lt High School"	"More Or Less"
122	"Lt High School"	"Satisfied"
123	"Lt High School"	"Not At All Sat"
124	"Lt High School"	"Satisfied"
125	"Lt High School"	"Satisfied"
126	"Lt High School"	"Satisfied"
127	"Bachelor"	"Not At All Sat"
128	"High School"	"Not At All Sat"
129	"Lt High School"	"More Or Less"
130	"High School"	"Satisfied"
131	"Lt High School"	"More Or Less"
132	"High School"	"More Or Less"
133	"High School"	"Satisfied"
134	"Lt High School"	"Satisfied"
135	"Lt High School"	"More Or Less"
136	"Lt High School"	"Satisfied"
137	"High School"	"Not At All Sat"
138	"Lt High School"	"More Or Less"
139	"Lt High School"	"Satisfied"
140	"High School"	"More Or Less"
141	"High School"	"More Or Less"
142	"High School"	"Satisfied"
143	"High School"	"Not At All Sat"
144	"Lt High School"	"Satisfied"
145	"Lt High School"	"Not At All Sat"
146	"Bachelor"	"More Or Less"
147	"High School"	"Not At All Sat"
148	"Lt High School"	"Not At All Sat"
149	"Lt High School"	"More Or Less"
150	"High School"	"Satisfied"
151	"High School"	"Satisfied"
152	"High School"	"More Or Less"
153	"Lt High School"	"Satisfied"
154	"Lt High School"	"More Or Less"
155	"High School"	"More Or Less"
156	"High School"	"Not At All Sat"
157	"Lt High School"	"More Or Less"
158	"High School"	"Not At All Sat"
159	"High School"	"Not At All Sat"
160	"Lt High School"	"Not At All Sat"
161	"High School"	"More Or Less"
162	"Lt High School"	"Not At All Sat"
163	"Lt High School"	"Satisfied"
164	"Lt High School"	"Satisfied"
165	"Graduate"	"Satisfied"
166	"Bachelor"	"Satisfied"
167	"Bachelor"	"More Or Less"
168	"High School"	"Satisfied"
169	"High School"	"More Or Less"
170	"High School"	"Not At All Sat"
171	"Lt High School"	"More Or Less"
172	"High School"	"More Or Less"
173	"Lt High School"	"Not At All Sat"
174	"Lt High School"	"More Or Less"
175	"Graduate"	"More Or Less"
176	"Bachelor"	"More Or Less"
177	"High School"	"Not At All Sat"
178	"Lt High School"	"More Or Less"
179	"Bachelor"	"More Or Less"
180	"High School"	"More Or Less"
181	"Lt High School"	"Satisfied"
182	"High School"	"Not At All Sat"
183	"Lt High School"	"Satisfied"
184	"Lt High School"	"More Or Less"
185	"Lt High School"	"More Or Less"
186	"Lt High School"	"More Or Less"
187	"Lt High School"	"More Or Less"
188	"High School"	"More Or Less"
189	"Bachelor"	"Satisfied"
190	"Graduate"	"Satisfied"
191	"High School"	"More Or Less"
192	"Graduate"	"More Or Less"
193	"Bachelor"	"Satisfied"
194	"High School"	"Satisfied"
195	"Lt High School"	"More Or Less"
196	"High School"	"More Or Less"
197	"Lt High School"	"Satisfied"
198	"High School"	"Satisfied"
199	"High School"	"More Or Less"
200	"High School"	"Not At All Sat"
201	"High School"	"Not At All Sat"
202	"Junior College"	"Not At All Sat"
203	"High School"	"Satisfied"
204	"Lt High School"	"Satisfied"
205	"Lt High School"	"Satisfied"
206	"Lt High School"	"Not At All Sat"
207	"Lt High School"	"Not At All Sat"
208	"Lt High School"	"More Or Less"
209	"High School"	"Satisfied"
210	"Lt High School"	"Not At All Sat"
211	"High School"	"More Or Less"
